,Start Date,End Date,Adj Close,Percent Change
0,2010-06-08,2010-07-08,48.0283088684082,0.027921464617238545
1,2010-06-09,2010-07-09,48.25163269042969,0.03197328161902124
2,2010-06-10,2010-07-12,48.77602767944336,0.025065870718022132
3,2010-06-11,2010-07-13,49.04791259765625,0.04178973803516761
4,2010-06-14,2010-07-14,49.32952117919922,0.035372025259253204
5,2010-06-15,2010-07-15,50.63073348999024,0.018510582710357215
6,2010-06-16,2010-07-16,50.47535705566406,-0.011258589266581742
7,2010-06-17,2010-07-19,50.38796997070313,0.0025380377170073354
8,2010-06-18,2010-07-20,50.09664916992188,0.02776451155119175
9,2010-06-21,2010-07-21,49.8538932800293,0.007955320069532479
10,2010-06-22,2010-07-22,48.86341094970703,0.05348415812129326
11,2010-06-23,2010-07-23,49.456459045410156,0.06091918663739282
12,2010-06-24,2010-07-26,49.5245132446289,0.07128549005233409
13,2010-06-25,2010-07-27,49.48563003540039,0.0667399086147108
14,2010-06-28,2010-07-28,49.06758117675781,0.05909758961444189
15,2010-06-29,2010-07-29,48.88286209106445,0.05453161706548304
16,2010-06-30,2010-07-30,48.78564453125,0.06258164198828631
17,2010-07-01,2010-08-02,50.26339721679688,0.03237886090164477
18,2010-07-02,2010-08-03,49.592567443847656,0.03041271916763011
19,2010-07-06,2010-08-04,49.09674453735352,0.05359821038058077
20,2010-07-07,2010-08-05,49.47590637207031,0.055318289150067645
21,2010-07-08,2010-08-06,49.4078483581543,0.03658801735067796
22,2010-07-09,2010-08-09,49.84535217285156,0.037363880543377914
23,2010-07-12,2010-08-10,50.03007507324219,0.029971721804328277
24,2010-07-13,2010-08-11,51.18700408935547,-0.014255425453352455
25,2010-07-14,2010-08-12,51.138389587402344,0.03698274436479654
26,2010-07-15,2010-08-13,51.58561325073242,0.02211568847085299
27,2010-07-16,2010-08-16,49.91340255737305,0.054511914003464
28,2010-07-19,2010-08-17,50.51618194580078,0.046605447413893386
29,2010-07-20,2010-08-18,51.52727890014648,0.0396810427401848
30,2010-07-21,2010-08-19,50.25367736816406,0.06494228083899312
31,2010-07-22,2010-08-20,51.62450408935547,0.04991929997732392
32,2010-07-23,2010-08-23,52.66475296020508,0.010593918173783745
33,2010-07-26,2010-08-24,53.32587432861328,-0.010873625773663242
34,2010-07-27,2010-08-25,53.02447891235352,0.005833235049447327
35,2010-07-28,2010-08-26,52.14949035644531,0.019020094742042692
36,2010-07-29,2010-08-27,51.7022705078125,0.043181113023871065
37,2010-07-30,2010-08-30,52.04255294799805,0.011632082785423048
