,Start Date,End Date,Adj Close,Percent Change
0,2010-06-08,2010-07-08,19.073413848876953,0.06813922351101132
1,2010-06-09,2010-07-09,19.10406494140625,0.06699105763715119
2,2010-06-10,2010-07-12,19.45655632019043,0.04835107732724331
3,2010-06-11,2010-07-13,19.648143768310547,0.04966626693054965
4,2010-06-14,2010-07-14,19.655805587768555,0.04646833544451978
5,2010-06-15,2010-07-15,20.468093872070312,0.0059545412524415475
6,2010-06-16,2010-07-16,20.52173614501953,-0.0014961054066902069
7,2010-06-17,2010-07-19,21.08114051818848,-0.027259115369959286
8,2010-06-18,2010-07-20,20.835920333862305,0.006939319611234507
9,2010-06-21,2010-07-21,20.812931060791016,-0.002584013040978217
10,2010-06-22,2010-07-22,20.422117233276367,0.029143808808518856
11,2010-06-23,2010-07-23,20.682655334472656,0.023163287615603156
12,2010-06-24,2010-07-26,20.276512145996094,0.048201641295928854
13,2010-06-25,2010-07-27,20.18455696105957,0.05387945755326784
14,2010-06-28,2010-07-28,20.422117233276367,0.036514482197232745
15,2010-06-29,2010-07-29,19.93167495727539,0.03666679941384732
16,2010-06-30,2010-07-30,19.786075592041016,0.05628690415477122
17,2010-07-01,2010-08-02,19.740100860595703,0.09039519719430877
18,2010-07-02,2010-08-03,19.540861129760746,0.10494894515424069
19,2010-07-06,2010-08-04,19.755428314208984,0.0989164239135617
20,2010-07-07,2010-08-05,20.18455696105957,0.1292561455510569
21,2010-07-08,2010-08-06,20.468093872070312,0.11497681913980717
22,2010-07-09,2010-08-09,20.475757598876953,0.12765241489645351
23,2010-07-12,2010-08-10,20.445098876953125,0.12924290309229447
24,2010-07-13,2010-08-11,20.67499351501465,0.09584478925415307
25,2010-07-14,2010-08-12,20.613689422607425,0.12091497313658539
26,2010-07-15,2010-08-13,20.590702056884766,0.10582366132903165
27,2010-07-16,2010-08-16,20.491079330444336,0.10985380053241933
28,2010-07-19,2010-08-17,20.52173614501953,0.13429892639646035
29,2010-07-20,2010-08-18,20.981517791748047,0.11288565839241727
30,2010-07-21,2010-08-19,20.7592887878418,0.10834484374513553
31,2010-07-22,2010-08-20,21.0351619720459,0.10508073274026819
32,2010-07-23,2010-08-23,21.173093795776367,0.09356969918723534
33,2010-07-26,2010-08-24,21.303369522094727,0.07425733424163428
34,2010-07-27,2010-08-25,21.334022521972656,0.08000736640797879
35,2010-07-28,2010-08-26,21.196081161499023,0.08168577746633432
