,Start Date,End Date,Adj Close,Percent Change
0,2010-06-08,2010-07-08,26.29999923706055,-0.06867121433544932
1,2010-06-09,2010-07-09,26.440000534057614,-0.0605696033051526
2,2010-06-10,2010-07-12,27.399999618530273,-0.09250397535413546
3,2010-06-11,2010-07-13,27.57999992370605,-0.05307366786193368
4,2010-06-14,2010-07-14,27.489999771118164,-0.03814200326064432
5,2010-06-15,2010-07-15,28.540000915527344,-0.07820180037286617
6,2010-06-16,2010-07-16,28.5,-0.12426033811158632
7,2010-06-17,2010-07-19,28.51000022888184,-0.11628814435745971
8,2010-06-18,2010-07-20,29.239999771118164,-0.09842219569066768
9,2010-06-21,2010-07-21,29.0,-0.09145654245713608
10,2010-06-22,2010-07-22,28.43000030517578,-0.013908679633190424
11,2010-06-23,2010-07-23,27.82999992370605,0.03535530136141085
12,2010-06-24,2010-07-26,26.26000022888184,0.11731091667624072
13,2010-06-25,2010-07-27,26.57999992370605,0.0881646562077657
14,2010-06-28,2010-07-28,26.0,0.09376090916639546
15,2010-06-29,2010-07-29,24.57999992370605,0.15937072106324135
16,2010-06-30,2010-07-30,24.36000061035156,0.17535545513314388
17,2010-07-01,2010-08-02,24.56999969482422,0.20071568387228755
18,2010-07-02,2010-08-03,24.309999465942386,0.2026894178933324
19,2010-07-06,2010-08-04,24.04999923706055,0.22067405180175814
20,2010-07-07,2010-08-05,24.729999542236328,0.1838283773951862
21,2010-07-08,2010-08-06,24.61000061035156,0.1445950566987052
22,2010-07-09,2010-08-09,24.93000030517578,0.14123321682716417
23,2010-07-12,2010-08-10,25.07999992370605,0.12307693744103332
24,2010-07-13,2010-08-11,26.190000534057614,0.06196273415146669
25,2010-07-14,2010-08-12,26.479999542236328,0.035337019808492354
26,2010-07-15,2010-08-13,26.46999931335449,0.05867715066269863
27,2010-07-16,2010-08-16,25.35000038146973,0.08351408093585022
28,2010-07-19,2010-08-17,25.540000915527344,0.08491576298251102
29,2010-07-20,2010-08-18,26.6200008392334,0.057031481725464794
30,2010-07-21,2010-08-19,26.56999969482422,0.03836407883238502
31,2010-07-22,2010-08-20,28.040000915527344,0.0024902060940702464
32,2010-07-23,2010-08-23,28.85000038146973,-0.054459054747039604
33,2010-07-26,2010-08-24,29.75,-0.08537030885130847
34,2010-07-27,2010-08-25,29.149999618530273,-0.05922961968217422
35,2010-07-28,2010-08-26,28.690000534057614,-0.047080326039673714
36,2010-07-29,2010-08-27,29.239999771118164,-0.030303052705528355
37,2010-07-30,2010-08-30,29.540000915527344,-0.07301126693603255
38,2010-08-02,2010-08-31,30.739999771118164,-0.10854671037037789
39,2010-08-03,2010-09-01,30.489999771118164,-0.05757890571644242
40,2010-08-04,2010-09-02,30.86000061035156,-0.052523906260449005
41,2010-08-05,2010-09-03,30.29999923706055,-0.00932707445127523
42,2010-08-06,2010-09-07,28.770000457763672,0.024415032856651364
43,2010-08-09,2010-09-08,29.03000068664551,0.03458593344640826
44,2010-08-10,2010-09-09,28.60000038146973,0.05859113984425657
45,2010-08-11,2010-09-10,27.920000076293945,0.09819118533835358
46,2010-08-12,2010-09-13,27.45000076293945,0.14111384389007475
47,2010-08-13,2010-09-14,28.1200008392334,0.12968122426392936
48,2010-08-16,2010-09-15,27.65999984741211,0.14866117517795774
49,2010-08-17,2010-09-16,27.90999984741211,0.14726549838793201
50,2010-08-18,2010-09-17,28.229999542236328,0.1329853086126277
51,2010-08-19,2010-09-20,27.6299991607666,0.17374401030333342
52,2010-08-20,2010-09-21,28.11000061035156,0.1499848542559542
53,2010-08-23,2010-09-22,27.36000061035156,0.13581804351815352
54,2010-08-24,2010-09-23,27.40999984741211,0.12203714124723364
55,2010-08-25,2010-09-24,27.520000457763672,0.13919296062455544
56,2010-08-26,2010-09-27,27.399999618530273,0.13809377699177228
57,2010-08-27,2010-09-28,28.3799991607666,0.12244900968265471
58,2010-08-30,2010-09-29,27.53000068664551,0.13807137675873615
59,2010-08-31,2010-09-30,27.729999542236328,0.13262433100356774
60,2010-09-01,2010-10-01,28.82999992370605,0.09567124583911712
61,2010-09-02,2010-10-04,29.31999969482422,0.06564689359577591
62,2010-09-03,2010-10-05,30.020000457763672,0.08223780807092473
63,2010-09-07,2010-10-06,29.489999771118164,0.06202292397632425
64,2010-09-08,2010-10-07,30.06999969482422,0.05854730143912845
65,2010-09-09,2010-10-08,30.3799991607666,0.03340760847006008
66,2010-09-10,2010-10-11,30.959999084472656,0.028248634922702576
67,2010-09-13,2010-10-12,31.959999084472656,0.022031860892886668
68,2010-09-14,2010-10-13,32.310001373291016,0.03436932882987753
69,2010-09-15,2010-10-14,32.490001678466804,0.025787011544292082
70,2010-09-16,2010-10-15,32.72999954223633,0.0177070875747799
71,2010-09-17,2010-10-18,32.560001373291016,0.018094043331786103
72,2010-09-20,2010-10-19,33.439998626708984,-0.02044547328611901
73,2010-09-21,2010-10-20,33.06999969482422,0.027638890711553565
74,2010-09-22,2010-10-21,31.65999984741211,0.07481009006341632
75,2010-09-23,2010-10-22,31.21999931335449,0.10390358276059053
76,2010-09-24,2010-10-25,31.96999931335449,0.09765737967876453
77,2010-09-27,2010-10-26,31.790000915527344,0.10777434851171674
78,2010-09-28,2010-10-27,32.34000015258789,0.0923379404125676
79,2010-09-29,2010-10-28,31.940000534057614,0.09824951481614719
80,2010-09-30,2010-10-29,31.96999931335449,0.11685086631035435
81,2010-10-01,2010-11-01,31.8799991607666,0.08679463477196558
82,2010-10-04,2010-11-02,31.3799991607666,0.11129997336950326
83,2010-10-05,2010-11-03,32.709999084472656,0.07363359353435306
84,2010-10-06,2010-11-04,31.440000534057614,0.12276784597648971
85,2010-10-07,2010-11-05,31.940000534057614,0.10482062049129637
86,2010-10-08,2010-11-08,31.43000030517578,0.11239761534557591
87,2010-10-11,2010-11-09,31.86000061035156,0.09745038813194717
88,2010-10-12,2010-11-10,32.68000030517578,0.08867819997353332
89,2010-10-13,2010-11-11,33.459999084472656,0.07772877038886383
90,2010-10-14,2010-11-12,33.34999847412109,0.053900752507203165
91,2010-10-15,2010-11-15,33.31999969482422,0.051252827215389485
92,2010-10-18,2010-11-16,33.15999984741211,0.0393974679118434
93,2010-10-19,2010-11-17,32.77000045776367,0.07114507960261407
94,2010-10-20,2010-11-18,34.009998321533196,0.06205185063849916
95,2010-10-21,2010-11-19,34.220001220703125,-0.013325459189799771
96,2010-10-22,2010-11-22,34.84000015258789,-0.0008617862141164778
97,2010-10-25,2010-11-23,35.43000030517578,-0.02934346862173065
98,2010-10-26,2010-11-24,35.630001068115234,-0.005644955157119602
99,2010-10-27,2010-11-26,35.630001068115234,-0.012215917495902673
100,2010-10-28,2010-11-29,35.41999816894531,0.002815379716485933
101,2010-10-29,2010-11-30,36.20000076293945,-0.02578633674706743
102,2010-11-01,2010-12-01,34.90999984741211,0.04539239434686271
103,2010-11-02,2010-12-02,35.310001373291016,0.061902179971825566
104,2010-11-03,2010-12-03,35.310001373291016,0.07054488514789503
105,2010-11-04,2010-12-06,35.84000015258789,0.046301266463189106
106,2010-11-05,2010-12-07,35.68000030517578,0.042661661740244994
107,2010-11-08,2010-12-08,35.40999984741211,0.0639704432066931
108,2010-11-09,2010-12-09,35.29999923706055,0.07324759528355596
109,2010-11-10,2010-12-10,35.86000061035156,0.08309895037791937
110,2010-11-11,2010-12-13,36.27999877929688,0.058884578539274535
111,2010-11-12,2010-12-14,35.25,0.09429594916768635
112,2010-11-15,2010-12-15,35.11999893188477,0.08326813696306079
113,2010-11-16,2010-12-16,34.52000045776367,0.10824073174389914
114,2010-11-17,2010-12-17,35.279998779296875,0.09839003791787515
115,2010-11-18,2010-12-20,36.2599983215332,0.07946182068075347
116,2010-11-19,2010-12-21,33.77000045776367,0.1482976252668604
117,2010-11-22,2010-12-22,34.810001373291016,0.1214032733030399
118,2010-11-23,2010-12-23,34.419998168945305,0.12439590520259303
119,2010-11-24,2010-12-27,35.43000030517578,0.09455662310099866
120,2010-11-26,2010-12-28,35.20000076293945,0.09766720642206905
