,Start Date,End Date,Adj Close,Percent Change
0,2012-10-12,2012-11-14,17.055036544799805,-0.09034275358232136
1,2012-10-15,2012-11-15,17.29867935180664,-0.06287437079455449
2,2012-10-16,2012-11-16,17.337663650512695,-0.05766962494555994
3,2012-10-17,2012-11-19,17.24995231628418,-0.03387859989274733
4,2012-10-18,2012-11-20,17.24995231628418,-0.03327500083688495
5,2012-10-19,2012-11-21,16.96732521057129,-0.01220907038839325
6,2012-10-22,2012-11-23,16.596986770629886,0.016743694955546173
7,2012-10-23,2012-11-26,16.69444465637207,0.007531928915372799
8,2012-10-24,2012-11-27,16.94783592224121,-0.009286339341047611
9,2012-10-25,2012-11-28,16.596986770629886,0.0127536699518902
10,2012-10-26,2012-11-29,16.704187393188473,0.05616747613046369
11,2012-10-31,2012-11-30,16.596986770629886,0.05388894264903654
12,2012-11-01,2012-12-03,16.791900634765625,0.04806642845418729
13,2012-11-02,2012-12-04,16.5677490234375,0.0465508140341655
14,2012-11-05,2012-12-05,16.28512191772461,0.0706340800761075
15,2012-11-06,2012-12-06,16.577497482299805,0.03461986513930604
16,2012-11-07,2012-12-07,16.626224517822266,0.038873189120887774
17,2012-11-08,2012-12-10,16.324106216430664,0.04937594606638551
18,2012-11-09,2012-12-11,16.12919044494629,0.05644256593533503
19,2012-11-12,2012-12-12,16.080463409423828,0.06462582732044975
20,2012-11-13,2012-12-13,15.632161140441895,0.10290809436253445
21,2012-11-14,2012-12-14,15.6419038772583,0.0865111604343205
22,2012-11-15,2012-12-17,16.275375366210938,0.07119030021737216
23,2012-11-16,2012-12-18,16.392324447631836,0.10531913719704589
24,2012-11-19,2012-12-19,16.684698104858402,0.10740365463420987
25,2012-11-20,2012-12-20,16.69444465637207,0.09936907348797752
26,2012-11-21,2012-12-21,16.76266860961914,0.09378255192893026
27,2012-11-23,2012-12-24,16.879613876342773,0.07081539927271907
28,2012-11-26,2012-12-26,16.82114028930664,0.07453077606955871
29,2012-11-27,2012-12-27,16.791900634765625,0.07065814559828976
30,2012-11-28,2012-12-28,16.811393737792972,0.08146978806721017
31,2012-11-29,2012-12-31,17.698253631591797,0.05020912022109625
32,2012-11-30,2013-01-02,17.54232406616211,0.06444916384374133
33,2012-12-03,2013-01-03,17.639781951904297,0.054336320467252786
34,2012-12-04,2013-01-04,17.376646041870114,0.11072310526496132
35,2012-12-05,2013-01-07,17.522830963134766,0.13432839758773096
36,2012-12-06,2013-01-08,17.171989440917972,0.14466004650133624
37,2012-12-07,2013-01-09,17.29867935180664,0.1328773369289875
38,2012-12-10,2013-01-10,17.171989440917972,0.18539037674890224
39,2012-12-11,2013-01-11,17.09402084350586,0.19058603417511388
40,2012-12-12,2013-01-14,17.191476821899414,0.19082561905314244
41,2012-12-13,2013-01-15,17.425373077392578,0.1767956179452317
42,2012-12-14,2013-01-16,17.12325668334961,0.17434224109967555
43,2012-12-17,2013-01-17,17.522830963134766,0.14867420074197868
44,2012-12-18,2013-01-18,18.321979522705078,0.08471298216246859
45,2012-12-19,2013-01-22,18.69232177734375,0.11977968265521843
46,2012-12-20,2013-01-23,18.5363883972168,0.11245918080975426
47,2012-12-21,2013-01-24,18.49740219116211,0.1143258793552
48,2012-12-24,2013-01-25,18.16604995727539,0.15272733645468817
49,2012-12-26,2013-01-28,18.175796508789066,0.1381699725778328
50,2012-12-27,2013-01-29,18.06859397888184,0.1622231932606043
51,2012-12-28,2013-01-30,18.302494049072266,0.1715922786055908
52,2012-12-31,2013-01-31,18.63384246826172,0.14719027150067798
53,2013-01-02,2013-02-01,18.75079727172852,0.15242274842551695
54,2013-01-03,2013-02-04,18.653335571289066,0.15084299479681074
55,2013-01-04,2013-02-05,19.540197372436523,0.11400799501096637
56,2013-01-07,2013-02-06,20.241891860961914,0.08219175001973955
57,2013-01-08,2013-02-07,20.076215744018555,0.08117758711805567
58,2013-01-09,2013-02-08,19.94951820373535,0.0716552210408744
59,2013-01-10,2013-02-11,21.08002281188965,-0.0032466621769300374
60,2013-01-11,2013-02-12,21.119009017944336,-0.0046361850902783
61,2013-01-14,2013-02-13,21.24570083618164,-0.011131659567599872
62,2013-01-15,2013-02-14,21.1677360534668,0.012727359584181364
63,2013-01-16,2013-02-15,20.738927841186523,0.0457397905943876
64,2013-01-17,2013-02-19,20.582990646362305,0.0744961232132677
65,2013-01-18,2013-02-20,20.017742156982425,0.03477449218815731
66,2013-01-22,2013-02-21,21.235958099365234,-0.05113375557087507
67,2013-01-23,2013-02-22,20.88511085510254,-0.021449213983738336
68,2013-01-24,2013-02-25,20.88511085510254,-0.0856130025941142
69,2013-01-25,2013-02-26,21.44061851501465,-0.09725700853251706
70,2013-01-28,2013-02-27,21.08976936340332,-0.032442664162261936
71,2013-01-29,2013-02-28,21.567312240600586,0.025539394810579097
72,2013-01-30,2013-03-01,22.093582153320312,-0.014771631703969668
73,2013-01-31,2013-03-04,21.84994125366211,-0.0013400836042243292
74,2013-02-01,2013-03-05,22.122817993164066,0.042194078541266555
75,2013-02-04,2013-03-06,21.966886520385746,0.04288749262239744
76,2013-02-05,2013-03-07,22.054597854614254,0.07670342325158175
77,2013-02-06,2013-03-08,22.054597854614254,0.09116467290227959
78,2013-02-07,2013-03-11,21.84994125366211,0.08452418226881353
79,2013-02-08,2013-03-12,21.489341735839844,0.11552371283648111
80,2013-02-11,2013-03-13,21.01180458068848,0.16271840696163076
81,2013-02-12,2013-03-14,21.02154922485352,0.13234117405881518
82,2013-02-13,2013-03-15,21.01180458068848,0.10724644046893839
83,2013-02-14,2013-03-18,21.44061851501465,0.08295108886035751
84,2013-02-15,2013-03-19,21.732990264892575,0.06144769233024916
85,2013-02-19,2013-03-20,22.23976707458496,0.04916670696412684
86,2013-02-20,2013-03-21,20.738927841186523,0.12463988470191978
