,Start Date,End Date,Adj Close,Percent Change
0,2010-06-08,2010-07-08,107.41999816894531,0.06199789278941581
1,2010-06-09,2010-07-09,110.36000061035156,0.047799834707425215
2,2010-06-10,2010-07-12,113.4000015258789,0.02291914603368783
3,2010-06-11,2010-07-13,113.16999816894531,0.04011877265239361
4,2010-06-14,2010-07-14,115.58999633789062,0.025790182457948507
5,2010-06-15,2010-07-15,117.73999786376952,0.0063296481856830455
6,2010-06-16,2010-07-16,118.25,-0.016941875140902285
7,2010-06-17,2010-07-19,118.0199966430664,-0.010618238368995003
8,2010-06-18,2010-07-20,116.9800033569336,0.00017091147920000882
9,2010-06-21,2010-07-21,116.76000213623048,0.004688393434571281
10,2010-06-22,2010-07-22,115.01000213623048,0.051385646959012043
11,2010-06-23,2010-07-23,114.58999633789062,0.05242705657227886
12,2010-06-24,2010-07-26,113.44000244140624,0.07236894601247335
13,2010-06-25,2010-07-27,114.5199966430664,0.03309697498764497
14,2010-06-28,2010-07-28,114.70999908447266,0.029936582795157207
15,2010-06-29,2010-07-29,110.5500030517578,0.05326705292560219
16,2010-06-30,2010-07-30,111.62999725341795,0.044263747116931595
17,2010-07-01,2010-08-02,109.38999938964844,0.07641002081399773
18,2010-07-02,2010-08-03,108.41999816894531,0.08683571882832086
19,2010-07-06,2010-08-04,111.41000366210938,0.0797885195099064
20,2010-07-07,2010-08-05,113.51000213623048,0.06329425771273667
21,2010-07-08,2010-08-06,114.5199966430664,0.056050140692902706
22,2010-07-09,2010-08-09,115.9000015258789,0.0524077848145168
23,2010-07-12,2010-08-10,116.05999755859376,0.03387996160724449
24,2010-07-13,2010-08-11,117.9000015258789,-0.01515414280592231
25,2010-07-14,2010-08-12,118.6500015258789,-0.03678782763595456
26,2010-07-15,2010-08-13,118.48999786376952,-0.04341317727337923
27,2010-07-16,2010-08-16,116.27999877929688,-0.017589937825139845
28,2010-07-19,2010-08-17,116.77999877929688,0.013682455453583264
29,2010-07-20,2010-08-18,117.0,-0.002227189832004983
30,2010-07-21,2010-08-19,117.30999755859376,-0.026783348434081145
31,2010-07-22,2010-08-20,121.23999786376952,-0.06678395280234395
32,2010-07-23,2010-08-23,120.93000030517578,-0.07245475358429632
33,2010-07-26,2010-08-24,122.29000091552734,-0.11021333837018821
34,2010-07-27,2010-08-25,118.44000244140624,-0.07379872315895386
35,2010-07-28,2010-08-26,118.25,-0.07139618607703602
36,2010-07-29,2010-08-27,116.7699966430664,-0.04520224997480082
37,2010-07-30,2010-08-30,116.8000030517578,-0.06278436242108798
38,2010-08-02,2010-08-31,118.44000244140624,-0.07098296738821785
39,2010-08-03,2010-09-01,118.7300033569336,-0.03252461572870824
40,2010-08-04,2010-09-02,121.06999969482422,-0.04370689392089844
41,2010-08-05,2010-09-03,121.18000030517578,-0.02252972846862389
42,2010-08-06,2010-09-07,121.31999969482422,-0.035506964003793495
43,2010-08-09,2010-09-08,122.30999755859376,-0.04306664958522077
44,2010-08-10,2010-09-09,120.12999725341795,-0.019000745401362762
45,2010-08-11,2010-09-10,116.13999938964844,0.01417535186786456
46,2010-08-12,2010-09-13,114.44000244140624,0.04910673957329281
47,2010-08-13,2010-09-14,113.55999755859376,0.07719811627232209
48,2010-08-16,2010-09-15,114.2699966430664,0.07682987744398884
49,2010-08-17,2010-09-16,118.4000015258789,0.0433096357290903
50,2010-08-18,2010-09-17,116.73999786376952,0.05534879321846986
51,2010-08-19,2010-09-20,114.25,0.0748987854251012
52,2010-08-20,2010-09-21,113.6500015258789,0.07511389920121692
53,2010-08-23,2010-09-22,112.76000213623048,0.06948339781928248
54,2010-08-24,2010-09-23,110.1500015258789,0.08246564993097627
55,2010-08-25,2010-09-24,110.3000030517578,0.10796601948546736
56,2010-08-26,2010-09-27,110.37000274658205,0.10464828626414946
